term	score	AffectDimension
interdit	0.308	anger
bruyant	0.307	anger
irréfléchi	0.307	anger
enterrement	0.304	anger
renfrogné	0.303	anger
théocratique	0.303	anger
grimacer	0.303	anger
involution	0.3	anger
impasse	0.297	anger
serres	0.297	anger
canular	0.297	anger
déprécié	0.297	anger
gaspilleur	0.297	anger
se rendre chez vous	0.297	anger
insensé	0.297	anger
déprimé	0.297	anger
taxé	0.297	anger
abuser	0.297	anger
paralysie	0.295	anger
déplacé	0.294	anger
limité	0.292	anger
déception	0.29	anger
orc	0.289	anger
ridicule	0.289	anger
colonne vertébrale	0.288	anger
aiguiser	0.288	anger
présomptueux	0.288	anger
taquineries	0.288	anger
sans abri	0.288	anger
réagir	0.288	anger
barrière	0.287	anger
huée	0.287	anger
nerveux	0.287	anger
myopie	0.283	anger
incompatible	0.281	anger
déconnecte	0.281	anger
délinquant	0.281	anger
contrebande	0.281	anger
en retard	0.281	anger
frisson	0.281	anger
agh	0.281	anger
restitution	0.281	anger
flexin	0.281	anger
spam	0.281	anger
incursion	0.279	anger
non conformité	0.279	anger
mise en mémoire tampon	0.279	anger
injustice	0.279	anger
troll	0.279	anger
bas	0.278	anger
immaturité	0.273	anger
indifférent	0.273	anger
bugaboo	0.273	anger
faux	0.273	anger
choc	0.269	anger
courageux	0.269	anger
rap	0.266	anger
pas de point	0.266	anger
féminisme	0.266	anger
faire levier	0.266	anger
fumisterie	0.266	anger
inopérant	0.266	anger
défendeur	0.266	anger
latent	0.266	anger
notamorningperson	0.266	anger
dilemme	0.266	anger
incommode	0.266	anger
ours	0.266	anger
des interruptions	0.265	anger
fluctuation	0.265	anger
exagérer	0.263	anger
perdre	0.261	anger
pierre	0.258	anger
soldat	0.258	anger
fourneau	0.258	anger
vol à l'étalage	0.258	anger
taquiner	0.258	anger
crépiter	0.258	anger
incompétent	0.257	anger
endoctrinement	0.255	anger
demandeur d'attention	0.25	anger
ne plus suivre	0.25	anger
absurdité	0.25	anger
compliquer	0.25	anger
faire trébucher	0.25	anger
faux	0.25	anger
notoriété	0.25	anger
mensonge	0.25	anger
la maîtrise	0.25	anger
socialiste	0.25	anger
déraper	0.25	anger
fusée	0.25	anger
bruyant	0.25	anger
avocat	0.25	anger
faire la moue	0.25	anger
canne	0.25	anger
clôturé	0.242	anger
obstacle	0.242	anger
ne comprend pas	0.242	anger
diminuer	0.242	anger
licou	0.242	anger
vampire	0.242	anger
verrouillage des majuscules	0.242	anger
sorcière	0.242	anger
sonnerie	0.242	anger
renfrogné	0.239	anger
sabre	0.238	anger
faim	0.235	anger
tarif	0.234	anger
lave	0.234	anger
barboter	0.234	anger
coquille	0.234	anger
j'essaie de dormir	0.234	anger
coquin	0.234	anger
récession	0.234	anger
échouer	0.234	anger
politique	0.234	anger
m'a réveillé	0.234	anger
indésirable	0.231	anger
contre	0.227	anger
imitateur	0.227	anger
ténèbres	0.227	anger
démissionner	0.227	anger
trempé	0.226	anger
insatisfait	0.225	anger
abandonné	0.222	anger
inaccessible	0.221	anger
dû	0.221	anger
la faillite	0.221	anger
confusion	0.219	anger
directeur	0.219	anger
quelque chose	0.219	anger
outil	0.219	anger
compresse	0.219	anger
idée fausse	0.219	anger
pleurnichard	0.219	anger
peu serviable	0.219	anger
moustique	0.219	anger
tremblements	0.219	anger
curieux	0.213	anger
additionneur	0.212	anger
trop cher	0.212	anger
pénurie	0.212	anger
mélodrame	0.212	anger
harry	0.212	anger
possession	0.206	anger
trop joué	0.206	anger
désert	0.206	anger
malchanceux	0.203	anger
non payé	0.203	anger
colonne vertébrale	0.203	anger
impuissant	0.203	anger
phrase	0.203	anger
sans invitation	0.203	anger
tour	0.203	anger
moue	0.203	anger
accusation	0.203	anger
inefficace	0.203	anger
tribunal	0.199	anger
interminable	0.198	anger
déclaration inexacte	0.197	anger
retard	0.197	anger
distraits	0.197	anger
annonces	0.197	anger
malentendu	0.195	anger
inadmissible	0.191	anger
exciter	0.191	anger
foudre	0.189	anger
triste	0.188	anger
empêcher	0.188	anger
au cas où	0.188	anger
peu sûr	0.188	anger
évaluation	0.182	anger
demandeur	0.182	anger
maîtresse	0.182	anger
insister	0.182	anger
rogner	0.182	anger
distrayant	0.182	anger
murmurer	0.182	anger
opium	0.18	anger
délibéré	0.176	anger
mériter	0.176	anger
insiste	0.175	anger
traiter	0.175	anger
libérer	0.172	anger
peice	0.172	anger
excitation	0.172	anger
égarer	0.172	anger
hormonal	0.172	anger
puissant	0.172	anger
merci beaucoup	0.172	anger
indécis	0.172	anger
frais	0.172	anger
charabia	0.172	anger
toison	0.172	anger
japper	0.168	anger
tendon	0.167	anger
mule	0.167	anger
insuffisance	0.167	anger
insignifiant	0.167	anger
inégal	0.167	anger
marchandage	0.167	anger
attentioncherekers	0.163	anger
avant bras	0.156	anger
indifférence	0.156	anger
coopérative	0.156	anger
rhumatisme	0.156	anger
avocat	0.152	anger
incertain	0.152	anger
juste le commencement	0.152	anger
désinformation	0.152	anger
prétendre	0.152	anger
participation	0.152	anger
sous-payés	0.152	anger
abeille	0.152	anger
faire campagne	0.151	anger
désespoir	0.149	anger
sentiment	0.147	anger
légalisé	0.145	anger
mise en garde	0.145	anger
sterling	0.141	anger
obligeant	0.141	anger
subvention	0.141	anger
morale	0.141	anger
wimpy	0.14	anger
bummer	0.139	anger
bon sang	0.136	anger
rembourser	0.136	anger
défaut	0.136	anger
mal orthographier	0.136	anger
surtaxe	0.136	anger
salon	0.136	anger
bouleau	0.135	anger
noob	0.133	anger
klaxonner	0.133	anger
orchestre	0.132	anger
sans fil	0.125	anger
arrêt	0.125	anger
compétitif	0.125	anger
mosquée	0.122	anger
inattention	0.121	anger
renversement	0.121	anger
dentelle	0.118	anger
coude	0.117	anger
instinctif	0.112	anger
chant	0.111	anger
solitaire	0.109	anger
gnome	0.109	anger
tolérer	0.106	anger
la gestion	0.102	anger
plaidoyer	0.1	anger
moral	0.094	anger
travaux	0.091	anger
honnête	0.087	anger
gentil	0.076	anger
oublieux	0.076	anger
alcool	0.075	anger
argent	0.074	anger
capuche	0.071	anger
programme d'études	0.063	anger
mots	0.062	anger
elfe	0.061	anger
odeur	0.061	anger
opéra	0.061	anger
espiègle	0.061	anger
conseiller	0.059	anger
trompette	0.059	anger
nourrir	0.059	anger
asleeep	0.059	anger
lieu de naissance	0.051	anger
ruban	0.047	anger
jeunesse	0.045	anger
vote	0.045	anger
en espèces	0.039	anger
je veux dormir	0.031	anger
gaufre	0.03	anger
dame	0.03	anger
buffet	0.029	anger
célébrité	0.026	anger
la fraternité	0.015	anger
correction automatique	0.015	anger
musical	0.011	anger
arbre	0	anger
torture	0.984	fear
terroriste	0.972	fear
horrible	0.969	fear
terrorisme	0.969	fear
les terroristes	0.969	fear
suicide	0.967	fear
tuer	0.962	fear
homicide	0.959	fear
la terreur	0.953	fear
meurtrier	0.953	fear
catastrophe	0.953	fear
annihiler	0.953	fear
mourant	0.948	fear
guerre	0.942	fear
bombardement	0.938	fear
bombe	0.935	fear
missiles	0.934	fear
horreur	0.923	fear
horrifié	0.922	fear
terroriser	0.922	fear
brutalité	0.922	fear
sanguinaire	0.922	fear
meurtrier	0.92	fear
massacre	0.911	fear
effroyable	0.906	fear
mutilation	0.906	fear
assassiner	0.906	fear
terrifiant	0.906	fear
fatalité	0.906	fear
les horreurs	0.906	fear
démon	0.906	fear
meurtre	0.906	fear
dévastation	0.906	fear
meurtre	0.906	fear
terrifié	0.906	fear
holocauste	0.906	fear
suicidaire	0.898	fear
enlever	0.891	fear
crucifixion	0.891	fear
abattage	0.891	fear
agression	0.891	fear
condamné	0.888	fear
empoisonné	0.886	fear
suicide	0.879	fear
explosion	0.879	fear
catastrophique	0.875	fear
démembrement	0.875	fear
annihilation	0.875	fear
sauvagerie	0.875	fear
mortel	0.875	fear
abattage	0.875	fear
suffocation	0.875	fear
catastrophe	0.875	fear
menaçant	0.875	fear
assassin	0.875	fear
râpé	0.87	fear
enfer	0.86	fear
abattoir	0.859	fear
guillotine	0.859	fear
explosif	0.859	fear
annihilé	0.859	fear
démoniaque	0.859	fear
je déteste les araignées	0.859	fear
effusion de sang	0.859	fear
crainte	0.859	fear
homicide	0.859	fear
barbare	0.859	fear
anthrax	0.859	fear
attentat à la pudeur	0.859	fear
guerre	0.859	fear
péril	0.859	fear
la tragédie	0.859	fear
attaquer	0.859	fear
paralysé	0.859	fear
bourreau	0.859	fear
suffocant	0.858	fear
traîtrise	0.856	fear
la frayeur	0.853	fear
apocalypse	0.844	fear
bombardement	0.844	fear
peur	0.844	fear
effrayant	0.844	fear
effrayé	0.844	fear
le plus effrayant	0.844	fear
paniqué	0.844	fear
morgue	0.844	fear
traumatique	0.844	fear
exécution	0.844	fear
monstre	0.844	fear
vengeance	0.844	fear
détruire	0.844	fear
tueur	0.844	fear
abomination	0.844	fear
douloureux	0.844	fear
noyer	0.844	fear
pétrifié	0.844	fear
effrayer	0.844	fear
mort	0.843	fear
le chaos	0.839	fear
horrible	0.836	fear
mal	0.833	fear
exploser	0.828	fear
diable	0.828	fear
fatal	0.828	fear
jour du jugement dernier	0.828	fear
condamner	0.828	fear
effrayer	0.828	fear
cancer	0.828	fear
peur	0.828	fear
cauchemar	0.828	fear
homicide involontaire	0.828	fear
traumatisme	0.828	fear
éradication	0.828	fear
des hommes armés	0.828	fear
intrus	0.828	fear
brutal	0.828	fear
violemment	0.828	fear
grenade	0.828	fear
atroce	0.828	fear
assassinat	0.828	fear
kidnappé	0.828	fear
paralyser	0.828	fear
morbidité	0.82	fear
paralysant	0.817	fear
sauvage	0.814	fear
la violence	0.812	fear
destructeur	0.812	fear
écrasé	0.812	fear
souffrance	0.812	fear
violent	0.812	fear
attaque cardiaque	0.812	fear
damnation	0.812	fear
toxique	0.812	fear
agresseur	0.812	fear
tremblement de terre	0.812	fear
tournage	0.812	fear
tremblement de terre	0.812	fear
affreux	0.812	fear
ouragan	0.811	fear
détenu	0.811	fear
exterminer	0.81	fear
craignant	0.808	fear
hémorragie	0.807	fear
tourmenter	0.806	fear
mortel	0.806	fear
venin	0.804	fear
claustrophobie	0.803	fear
serpents	0.802	fear
danger	0.802	fear
vol	0.8	fear
exorcisme	0.8	fear
effacé	0.8	fear
terrifie	0.798	fear
extermination	0.797	fear
nocif	0.797	fear
incurable	0.797	fear
poison	0.797	fear
cruauté	0.797	fear
plus grande peur	0.797	fear
mortalité	0.797	fear
monstruosité	0.797	fear
destruction	0.797	fear
persécution	0.797	fear
crise d'angoisse	0.797	fear
attaque	0.797	fear
hystérie	0.797	fear
bombardiers	0.797	fear
cyanure	0.797	fear
terriblement	0.796	fear
incendie volontaire	0.794	fear
dévaster	0.792	fear
tyran	0.788	fear
crimes de guerre	0.785	fear
périr	0.784	fear
craignait	0.782	fear
en hurlant	0.781	fear
maniaque	0.781	fear
paniquer	0.781	fear
sanglant	0.781	fear
venimeux	0.781	fear
déchaînement	0.781	fear
esclave	0.781	fear
belliqueux	0.781	fear
sans vie	0.781	fear
serpent	0.776	fear
épidémie	0.776	fear
panicattaque	0.774	fear
dangereusement	0.766	fear
envahisseur	0.766	fear
crise	0.766	fear
exploser	0.766	fear
hasardeux	0.766	fear
jihad	0.766	fear
mourir	0.766	fear
effrayant	0.766	fear
envahir	0.766	fear
représailles	0.766	fear
effacer	0.766	fear
émeute	0.766	fear
criminel	0.766	fear
tumeur	0.766	fear
violation	0.766	fear
craintif	0.766	fear
enfer	0.766	fear
oh merde	0.766	fear
naufrage	0.766	fear
lèpre	0.766	fear
claustrophobe	0.765	fear
hyperventiler	0.762	fear
cauchemars	0.759	fear
détruit	0.754	fear
fantomatique	0.754	fear
les ouragans	0.75	fear
tyrannie	0.75	fear
panique	0.75	fear
ptsd	0.75	fear
dangereux	0.75	fear
étrangler	0.75	fear
tragédies	0.75	fear
déchirant	0.75	fear
danger	0.75	fear
destructeur	0.75	fear
projectiles	0.75	fear
choléra	0.75	fear
oblitération	0.75	fear
esclavage	0.75	fear
emprisonnement	0.75	fear
agonie	0.75	fear
anaconda	0.75	fear
anarchiste	0.75	fear
perfide	0.75	fear
séditieux	0.75	fear
mortuaire	0.75	fear
horrible	0.75	fear
anarchie	0.75	fear
peurs	0.75	fear
accident	0.75	fear
malignité	0.742	fear
bombarder	0.74	fear
cannibale	0.74	fear
abominable	0.738	fear
tyrannique	0.734	fear
dépravé	0.734	fear
mutinerie	0.734	fear
effrayé	0.734	fear
dictature	0.734	fear
la bête	0.734	fear
missile	0.734	fear
maudit	0.734	fear
mêlée	0.734	fear
menacer	0.734	fear
otage	0.734	fear
malade	0.734	fear
sang	0.734	fear
diabolique	0.734	fear
malin	0.734	fear
misère	0.734	fear
horrible	0.734	fear
coup	0.734	fear
bombardier	0.734	fear
hyperventiler	0.734	fear
crash	0.734	fear
pistolet	0.734	fear
tirer	0.734	fear
victime	0.734	fear
paralysie	0.734	fear
mafia	0.734	fear
tornade	0.734	fear
la tourmente	0.733	fear
combat	0.728	fear
alligator	0.727	fear
se ruiner	0.725	fear
tireur	0.722	fear
contagieux	0.72	fear
fausse couche	0.719	fear
lyncher	0.719	fear
désespoir	0.719	fear
victime	0.719	fear
dévastateur	0.719	fear
saisie	0.719	fear
famine	0.719	fear
atroce	0.719	fear
phobie	0.719	fear
nuire	0.719	fear
la criminalité	0.719	fear
urgence	0.719	fear
choc	0.719	fear
bats toi	0.719	fear
blessé	0.719	fear
crier	0.719	fear
lutte	0.719	fear
ravage	0.719	fear
mortification	0.719	fear
frénétiquement	0.717	fear
carnage	0.717	fear
impasse	0.716	fear
infestation	0.716	fear
si effrayant	0.712	fear
paniquer	0.708	fear
rupture	0.706	fear
frénétique	0.705	fear
affreux	0.705	fear
enterrement	0.703	fear
arsenic	0.703	fear
névrosé	0.703	fear
carcinome	0.703	fear
la sorcellerie	0.703	fear
hystérique	0.703	fear
dérangé	0.703	fear
proie	0.703	fear
infectieux	0.703	fear
agresseur	0.703	fear
sabotage	0.703	fear
psychose	0.703	fear
haine	0.703	fear
terminal	0.703	fear
effondrer	0.703	fear
angoisse	0.703	fear
macabre	0.703	fear
diabolique	0.703	fear
avalanche	0.703	fear
redouté	0.703	fear
entaille	0.703	fear
sos	0.703	fear
agressif	0.703	fear
malveillant	0.703	fear
angoissant	0.703	fear
cobra	0.703	fear
poignant	0.703	fear
fugitif	0.703	fear
détruit	0.703	fear
armé	0.703	fear
paralyser	0.703	fear
paniqué	0.703	fear
schizophrénie	0.703	fear
peste	0.703	fear
bouleversement	0.703	fear
vengeance	0.703	fear
de force	0.7	fear
enlèvement	0.7	fear
crocodile	0.7	fear
délinquant	0.698	fear
grabuge	0.69	fear
blessant	0.688	fear
maladie	0.688	fear
agoraphobie	0.688	fear
bagarre	0.688	fear
bannir	0.688	fear
oppression	0.688	fear
hostile	0.688	fear
guérilla	0.688	fear
cyclone	0.688	fear
radiation	0.688	fear
désespéré	0.688	fear
embuscade	0.688	fear
bestial	0.688	fear
shrapnel	0.688	fear
anxiété sociale	0.688	fear
cadavre	0.688	fear
leucémie	0.688	fear
enragé	0.688	fear
mettre en danger	0.688	fear
contagion	0.688	fear
anarchisme	0.688	fear
blesser	0.688	fear
inquiétude	0.688	fear
sanglant	0.688	fear
paranoïaque	0.688	fear
alarme	0.688	fear
explosion	0.688	fear
potence	0.686	fear
cercueil	0.684	fear
la démence	0.675	fear
effrayer	0.673	fear
fureur	0.672	fear
terrible	0.672	fear
victime	0.672	fear
fantôme	0.672	fear
tremblant	0.672	fear
plus effrayant	0.672	fear
poignarder	0.672	fear
vipère	0.672	fear
épave nerveuse	0.672	fear
tarentule	0.672	fear
voyou	0.672	fear
cachot	0.672	fear
carcasse	0.672	fear
effrayé	0.672	fear
vermine	0.672	fear
criminel	0.672	fear
atrocité	0.672	fear
crocs	0.672	fear
des militants	0.672	fear
périr	0.672	fear
milice	0.672	fear
sinistre	0.672	fear
déclenchement	0.672	fear
odieux	0.672	fear
abuser de	0.672	fear
frankenstorm	0.672	fear
sinistre	0.672	fear
menace	0.672	fear
blesser	0.672	fear
gang	0.672	fear
écrasement	0.672	fear
combattant	0.672	fear
éruption	0.672	fear
briser	0.672	fear
persécuter	0.672	fear
revolver	0.672	fear
blessure	0.672	fear
mutiler	0.672	fear
tellement peur	0.672	fear
menaçant	0.672	fear
désolation	0.667	fear
féroce	0.667	fear
battu	0.667	fear
égorgé	0.664	fear
pandémie	0.664	fear
volcan	0.663	fear
fait peur	0.66	fear
cruellement	0.658	fear
infâme	0.656	fear
craintivement	0.656	fear
purgatoire	0.656	fear
despotique	0.656	fear
tumulte	0.656	fear
mal intentionné	0.656	fear
emetophobia	0.656	fear
l'automutilation	0.656	fear
fou	0.656	fear
brute	0.656	fear
typhon	0.656	fear
xénophobie	0.656	fear
trahison	0.656	fear
oppressif	0.656	fear
champ de bataille	0.656	fear
dictateur	0.656	fear
fracasser	0.656	fear
radioactif	0.656	fear
empiètement	0.656	fear
accident vasculaire cérébral	0.656	fear
traitre	0.656	fear
blizzard	0.656	fear
coma	0.656	fear
cruel	0.656	fear
en voie de disparition	0.656	fear
armement	0.656	fear
impitoyable	0.656	fear
châtiment	0.656	fear
merde	0.656	fear
névrose	0.656	fear
débauche	0.656	fear
araignée	0.656	fear
détresse	0.656	fear
alarmant	0.656	fear
vengeance	0.656	fear
fou	0.656	fear
insensé	0.656	fear
projectile	0.654	fear
fouetter	0.653	fear
coup	0.652	fear
une rançon	0.644	fear
criminalité	0.642	fear
pendaison	0.641	fear
détériorer	0.641	fear
démence	0.641	fear
puni	0.641	fear
perturbation	0.641	fear
hanter	0.641	fear
les rapaces	0.641	fear
avortement	0.641	fear
désespoir	0.641	fear
cantbreathe	0.641	fear
scélérat	0.641	fear
isolé	0.641	fear
frémissant	0.641	fear
contrainte	0.641	fear
redoutant	0.641	fear
ciblé	0.641	fear
serpent à sonnette	0.641	fear
disparition	0.641	fear
démoniste	0.641	fear
périlleux	0.641	fear
lâche	0.641	fear
rage	0.641	fear
préjudiciable	0.641	fear
intimider	0.641	fear
conflit	0.641	fear
incendies	0.641	fear
épave	0.641	fear
tumeur	0.641	fear
représailles	0.641	fear
véhément	0.641	fear
dément	0.641	fear
hideux	0.641	fear
banshee	0.641	fear
antéchrist	0.641	fear
atterré	0.641	fear
bestial	0.639	fear
serpent	0.638	fear
condamnation	0.637	fear
corrosif	0.636	fear
armement	0.636	fear
feu	0.636	fear
exclusion	0.636	fear
nervosité	0.627	fear
s'emparer de	0.625	fear
pneumonie	0.625	fear
les araignées	0.625	fear
révoltant	0.625	fear
vampire	0.625	fear
mercenaire	0.625	fear
sarcome	0.625	fear
incarcération	0.625	fear
maniaque	0.625	fear
blesser	0.625	fear
contrebandier	0.625	fear
peste	0.625	fear
nuisible	0.625	fear
étourdi	0.625	fear
vengeur	0.625	fear
irréparable	0.625	fear
folie	0.625	fear
tonnerre	0.625	fear
défiguré	0.625	fear
artillerie	0.625	fear
incendiaire	0.625	fear
démon	0.625	fear
déchirant	0.625	fear
turbulent	0.625	fear
glissement de terrain	0.625	fear
malice	0.625	fear
ennemi	0.625	fear
combatif	0.625	fear
écœurant	0.625	fear
répression	0.625	fear
infection	0.625	fear
méchant	0.625	fear
inhumain	0.625	fear
effondrement	0.625	fear
prison	0.625	fear
ruineux	0.625	fear
fou	0.625	fear
virulence	0.625	fear
mauvais	0.621	fear
barbare	0.62	fear
combattu	0.615	fear
plomb	0.613	fear
chantage	0.612	fear
bourreau	0.61	fear
contaminé	0.61	fear
sombre	0.61	fear
sans merci	0.609	fear
battement	0.609	fear
agression	0.609	fear
injection	0.609	fear
aliénation	0.609	fear
insurmontable	0.609	fear
poignard	0.609	fear
incendie	0.609	fear
boucher	0.609	fear
paludisme	0.609	fear
interrogatoire	0.609	fear
despotisme	0.609	fear
colère	0.609	fear
poursuivre	0.609	fear
désintégrer	0.609	fear
manille	0.609	fear
oubli	0.609	fear
sans abri	0.609	fear
victime	0.609	fear
rob	0.609	fear
ogre	0.609	fear
oppresseur	0.609	fear
abandon	0.609	fear
déplorable	0.609	fear
blessant	0.609	fear
maladie	0.609	fear
saignement	0.609	fear
infanticide	0.609	fear
fléau	0.609	fear
menace	0.604	fear
armes à feu	0.6	fear
nerfs	0.6	fear
raid	0.6	fear
expulsion	0.596	fear
scélérat	0.595	fear
torrent	0.594	fear
martèlement	0.594	fear
brume	0.594	fear
cardiomyopathie	0.594	fear
infidèle	0.594	fear
tromperie	0.594	fear
possédé	0.594	fear
dragon	0.594	fear
terrible	0.594	fear
belligérant	0.594	fear
restreint	0.594	fear
lutin	0.594	fear
hypertrophie	0.594	fear
paranoïa	0.594	fear
tribulations	0.594	fear
fuir	0.594	fear
bombardement	0.594	fear
masochisme	0.594	fear
tremblement	0.594	fear
cambrioleur	0.594	fear
maladie	0.594	fear
anxiété	0.594	fear
douleur	0.594	fear
état septique	0.594	fear
euthanasie	0.594	fear
présage	0.594	fear
ennemi	0.594	fear
de mauvais augure	0.594	fear
chargé	0.594	fear
condamné	0.594	fear
pourrir	0.594	fear
cercueil	0.594	fear
maudit	0.594	fear
foudre	0.594	fear
infâme	0.594	fear
blessés	0.592	fear
élimination	0.588	fear
lave	0.588	fear
donner une fessée	0.587	fear
hostilités	0.586	fear
lugubre	0.584	fear
blocus	0.582	fear
coup de poing	0.58	fear
hanté	0.578	fear
angine	0.578	fear
affliction	0.578	fear
dépossédé	0.578	fear
tumultueux	0.578	fear
quarantaine	0.578	fear
profanation	0.578	fear
lâche	0.578	fear
troubles de l'alimentation	0.578	fear
grisonnant	0.578	fear
démoralisé	0.578	fear
inquiéter	0.578	fear
malédiction	0.578	fear
privation	0.578	fear
frémir	0.578	fear
les bactéries	0.578	fear
peiné	0.578	fear
vol	0.578	fear
échec	0.578	fear
tellement stressé	0.578	fear
odieux	0.578	fear
interdiction	0.578	fear
reculer	0.578	fear
parasite	0.578	fear
perte	0.578	fear
abîme	0.578	fear
chirurgie	0.578	fear
volatilité	0.578	fear
inquiet	0.578	fear
confiné	0.578	fear
se disputer	0.578	fear
péril	0.578	fear
ombragé	0.578	fear
prison	0.578	fear
terrible	0.578	fear
évacuer	0.578	fear
assaillir	0.578	fear
perdition	0.577	fear
foule	0.577	fear
toxine	0.575	fear
impie	0.575	fear
comateux	0.575	fear
pillage	0.574	fear
inceste	0.571	fear
blessure	0.571	fear
forcé	0.569	fear
lâcheté	0.567	fear
domination	0.566	fear
crypte	0.566	fear
sorcière	0.565	fear
passer en contrebande	0.565	fear
des soucis	0.562	fear
banni	0.562	fear
purge	0.562	fear
infliger	0.562	fear
des masques	0.562	fear
affliger	0.562	fear
sacrifices	0.562	fear
détérioration	0.562	fear
eeek	0.562	fear
poudre à canon	0.562	fear
malheur	0.562	fear
ulcère	0.562	fear
incube	0.562	fear
appréhender	0.562	fear
procès	0.562	fear
pénible	0.562	fear
prisonnier	0.562	fear
frousse	0.562	fear
corrompre	0.562	fear
débattre	0.562	fear
martyr	0.562	fear
travestir	0.562	fear
duel	0.562	fear
piège	0.562	fear
évasion	0.562	fear
irrésistible	0.562	fear
disparu	0.562	fear
imminent	0.562	fear
risqué	0.562	fear
martyre	0.562	fear
épouvantable	0.562	fear
syncope	0.562	fear
polio	0.562	fear
risque	0.562	fear
confiner	0.562	fear
la tombe	0.562	fear
turbulence	0.562	fear
dégradant	0.562	fear
punir	0.562	fear
impuissant	0.562	fear
incrimination	0.562	fear
freak	0.562	fear
gale	0.562	fear
chasseur	0.562	fear
peu sûr	0.561	fear
péché	0.56	fear
la pire sensation	0.56	fear
auteur	0.56	fear
occulte	0.559	fear
intimidation	0.559	fear
désactiver	0.558	fear
pourriture	0.557	fear
affliction	0.557	fear
autopsie	0.557	fear
vulnérabilité	0.548	fear
inonder	0.547	fear
esclavage	0.547	fear
abhorrer	0.547	fear
renverser	0.547	fear
appendicite	0.547	fear
tollé	0.547	fear
canon	0.547	fear
sirène	0.547	fear
grondement	0.547	fear
compromettre	0.547	fear
déformation	0.547	fear
samouraï	0.547	fear
névralgie	0.547	fear
serres	0.547	fear
sans défense	0.547	fear
il faut se méfier	0.547	fear
nuisible	0.547	fear
asile	0.547	fear
scorpion	0.547	fear
explosion	0.547	fear
dérogation	0.547	fear
hostilité	0.547	fear
malade	0.547	fear
scandale	0.547	fear
additionneur	0.547	fear
communisme	0.547	fear
voleur	0.547	fear
plonger	0.547	fear
précaire	0.547	fear
expulsion	0.547	fear
furieux	0.547	fear
brigade	0.547	fear
des aiguilles	0.547	fear
folie	0.547	fear
apparition	0.547	fear
sénile	0.547	fear
coercition	0.547	fear
blennorragie	0.547	fear
châtiment	0.545	fear
soulèvement	0.545	fear
cimetière	0.541	fear
méchanceté	0.539	fear
fantôme	0.538	fear
abandonné	0.534	fear
fuite	0.534	fear
rejet	0.533	fear
rébellion	0.531	fear
désincarné	0.531	fear
ravisseur	0.531	fear
orageux	0.531	fear
tige	0.531	fear
querelles	0.531	fear
sans espoir	0.531	fear
assujettissement	0.531	fear
esclave	0.531	fear
désespoir	0.531	fear
superstitieux	0.531	fear
cassé	0.531	fear
manifestation	0.531	fear
lâche	0.531	fear
abandonner	0.531	fear
déserté	0.531	fear
discordant	0.531	fear
frénétique	0.531	fear
vol	0.531	fear
bactérie	0.531	fear
sabre	0.531	fear
manipula	0.531	fear
anarchie	0.531	fear
impuissance	0.531	fear
pénétration	0.531	fear
svastika	0.531	fear
athérosclérose	0.531	fear
tremblement	0.531	fear
carnivore	0.531	fear
effronté	0.531	fear
sangsues	0.531	fear
enterré	0.531	fear
présage	0.531	fear
endocardite	0.531	fear
échouer	0.531	fear
stressé	0.531	fear
punir	0.531	fear
instable	0.531	fear
freakout	0.531	fear
incursion	0.531	fear
méfiance	0.531	fear
le suspense	0.529	fear
du sang	0.525	fear
ours	0.524	fear
cache	0.524	fear
illicite	0.519	fear
fou	0.519	fear
anxieux	0.518	fear
culte	0.518	fear
captif	0.517	fear
déportation	0.517	fear
détenu	0.516	fear
imposer	0.516	fear
suspect	0.516	fear
opprimer	0.516	fear
dégoût	0.516	fear
grave	0.516	fear
croc	0.516	fear
exilé	0.516	fear
insidieux	0.516	fear
pillage	0.516	fear
pressentiment	0.516	fear
intolérance	0.516	fear
inciter	0.516	fear
sorcellerie	0.516	fear
émacié	0.516	fear
cri	0.516	fear
éclaté	0.516	fear
impuissance	0.516	fear
exacerbation	0.516	fear
biopsie	0.516	fear
mauvais pressentiment	0.516	fear
rechute	0.516	fear
situation critique	0.516	fear
grognement	0.516	fear
gênant	0.516	fear
chassé	0.516	fear
embolie	0.516	fear
ténèbres	0.516	fear
conspirateur	0.516	fear
paralysie	0.516	fear
dureté	0.516	fear
impensable	0.516	fear
piquer	0.516	fear
voleur	0.516	fear
pernicieux	0.516	fear
frapper	0.516	fear
dépression	0.508	fear
accouchement	0.507	fear
snowmageddon	0.5	fear
illégal	0.5	fear
eeeek	0.5	fear
imposant	0.5	fear
intolérant	0.5	fear
subvertir	0.5	fear
falaise	0.5	fear
coupable	0.5	fear
guêpe	0.5	fear
réprimer	0.5	fear
brute	0.5	fear
interdit	0.5	fear
suppression	0.5	fear
ruiné	0.5	fear
instabilité	0.5	fear
contrainte	0.5	fear
odieux	0.5	fear
chute	0.5	fear
abandon	0.5	fear
délirant	0.5	fear
méfiance	0.5	fear
alcoolisme	0.5	fear
goutte	0.5	fear
frénétique	0.5	fear
scalpel	0.5	fear
vertige	0.5	fear
prier pour moi	0.5	fear
infarctus	0.5	fear
défi	0.5	fear
délicat	0.5	fear
fou	0.5	fear
prémédité	0.5	fear
chasse	0.5	fear
malheur	0.491	fear
intrusion	0.484	fear
corbillard	0.484	fear
lion	0.484	fear
armure	0.484	fear
haine	0.484	fear
rat	0.484	fear
seringue	0.484	fear
ravin	0.484	fear
